word,freq
F2,54.0
ER,24357.0
F3,343.0
Dr,196056.0
ES,97.0
ET,33744.0
Ds,886.0
F5,5.0
EU,506.0
Dt,28.0
F6,237.0
EV,17.0
F7,10.0
EW,8447.0
F8,5.0
EX,174.0
F9,70.0
Dx,2085.0
EZ,829.0
Dz,134.0
FA,393.0
FB,1969.0
FC,203.0
Eb,4.0
FD,29.0
Ec,3.0
FE,951.0
FF,390.0
Ef,199.0
FG,1.0
FH,16568.0
Eg,1.0
FI,69.0
FK,231.0
Ej,7.0
FL,355.0
FM,2459.0
FN,54.0
G0,51.0
FO,40.0
G1,173.0
FP,39.0
G2,226.0
Ep,83.0
FQ,83.0
FR,2127.0
G3,76.0
Eq,8.0
FS,18474.0
G4,37.0
Er,107.0
G5,16.0
FT,1583.0
Es,32.0
FU,1696.0
FV,5.0
FW,569.0
Ev,12.0
FX,2410.0
Ew,168.0
Ez,68.0
GA,440.0
GB,2953.0
Fa,67.0
GC,242.0
Fb,15.0
Fc,2.0
GD,24.0
GE,5651.0
Fd,49.0
GF,232.0
GG,71.0
Fg,1.0
GI,105836.0
GJ,2852.0
Fi,68.0
GL,29.0
Fk,4.0
Fl,27.0
GM,445.0
GN,1049.0
Fm,13.0
GO,110.0
H1,114.0
Fo,5.0
GP,372.0
H2,27277.0
GR,610.0
Fr,2508.0
GS,1304.0
GT,789.0
Fs,262.0
GU,2149.0
Ft,62.0
Fu,70.0
GV,4.0
H7,1.0
GW,12.0
GX,1.0
GY,3.0
Fx,1577.0
HA,7666.0
HB,287.0
Ga,6.0
HC,454.0
Gb,13.0
HD,108298.0
HE,998.0
Gd,687.0
HF,2706.0
Ge,10.0
HG,190.0
HH,357.0
Gg,1.0
HI,229.0
Chol,263.0
Gi,714.0
HJ,62.0
HK,1066.0
HL,1767.0
HM,20.0
Gl,45.0
HN,4977.0
Gm,712.0
HO,4867.0
HP,70.0
I1,1.0
Gp,10.0
I2,7.0
HR,170578.0
HS,20699.0
Gr,273.0
HT,104.0
Gs,6.0
Gt,26.0
HV,53.0
Gu,65.0
HW,7.0
HX,2869.0
HY,58.0
Gy,40.0
HZ,2.0
IA,702.0
IB,147.0
IC,998.0
Hb,691.0
ID,42123.0
Hc,25.0
Hd,394.0
IF,2580.0
IG,123.0
Hg,19102.0
IH,8532.0
IJ,46862.0
IL,174.0
Hk,3.0
IM,5857.0
Hl,5.0
IN,33397.0
Hm,4.0
Hn,3.0
IP,14544.0
IQ,18.0
Hp,1.0
IR,32083.0
IS,16286.0
Hr,5799.0
IT,878.0
Hs,57.0
IU,613.0
Ht,190.0
IV,492164.0
IW,13.0
Hv,1.0
Hw,4.0
Hx,14298.0
Hy,4.0
Hz,675.0
Ib,30.0
JD,11.0
Ic,6.0
Id,127.0
JG,19.0
Ig,182.0
JH,16.0
Ih,3.0
JJ,79.0
Ij,88.0
JK,183.0
Il,4.0
JP,17127.0
K1,2.0
Ip,45.0
K2,164.0
K3,273.0
JR,342.0
K4,314.0
Ir,59.0
JS,1.0
JT,323.0
K5,53.0
JV,41.0
KA,4.0
KC,4.0
KD,8.0
KE,5.0
KF,6.0
Je,2.0
KG,136.0
KI,7.0
Jh,5.0
KJ,8.0
KK,41.0
KL,11.0
L1,5612.0
L2,4521.0
Jp,700.0
L3,3763.0
L4,4153.0
KS,45.0
Jr,15.0
L5,4651.0
KT,4.0
Jt,28.0
L6,45.0
LA,33453.0
LB,54.0
LC,41.0
LD,374.0
LE,35618.0
LF,59.0
LG,304.0
LH,398.0
Kg,406.0
LI,23.0
LK,4.0
LL,2190.0
LM,3950.0
LN,1146.0
M0,77.0
LO,660.0
LP,17543.0
M1,1476.0
LQ,89.0
M2,800.0
LR,17780.0
M3,101.0
LS,31871.0
M4,114.0
Ks,68.0
LT,3675.0
M5,18.0
M6,36.0
LV,103386.0
M7,3.0
LW,13.0
LX,8.0
MA,2584.0
MB,10652.0
MC,160.0
Lb,1.0
MD,73508.0
ME,277.0
Le,156.0
MF,162.0
MG,2415.0
Lf,65.0
Lg,1366.0
MH,64.0
MI,34372.0
MJ,187.0
Li,182.0
ML,8367.0
MM,6668.0
Ll,6.0
MN,6774.0
N0,236.0
MO,34.0
Ln,6.0
N1,84.0
MP,635.0
N2,39.0
Lp,26.0
MQ,53.0
MR,95358.0
MS,36778.0
Lr,77.0
Ls,1439.0
MT,202.0
Lt,4572.0
MU,25.0
MV,6841.0
Lv,25.0
MW,122.0
MX,8.0
Lx,2.0
Ly,10.0
NA,5453.0
NB,1892.0
NC,48650.0
Mb,15.0
ND,6935.0
Md,1304.0
NE,649.0
NF,136.0
NG,70881.0
Mf,1.0
Mg,6913.0
NH,6621.0
NI,96.0
NJ,711.0
NK,28.0
NL,1905.0
NM,149.0
Mn,140.0
NP,8492.0
Mo,72.0
O2,297779.0
Mp,11.0
NR,608.0
Mr,43186.0
NS,61487.0
Ms,24147.0
NT,7738.0
NU,717.0
Mt,44.0
NV,42.0
NW,43.0
Mv,23.0
Mw,3.0
NX,8.0
NY,392.0
Mx,42.0
NZ,32.0
OA,1902.0
OB,2233.0
Na,28048.0
OC,18.0
OD,1971.0
Nc,177.0
OE,8.0
Nd,27.0
OG,20945.0
OH,208.0
Ng,260.0
OI,72.0
OJ,296.0
Ni,12.0
OK,5202.0
OL,3.0
Nl,2375.0
OM,2770.0
P0,420.0
Nn,4.0
OO,3.0
OP,13313.0
P1,618.0
P2,801.0
Np,139.0
OQ,1.0
P3,161.0
OS,460.0
Nr,3.0
OT,2635.0
P5,86.0
Ns,316.0
OU,1025.0
P6,35.0
Nt,167.0
OV,23.0
P7,19.0
P8,20.0
OX,15.0
Nx,52.0
OZ,5.0
CiWA,20.0
PA,79526.0
PB,139.0
Ob,57.0
PC,1675.0
PD,6087.0
Oc,4.0
PE,49839.0
PF,553.0
PG,532.0
PH,1234.0
Og,187.0
PI,144.0
PJ,81.0
PK,10.0
Oj,3.0
PL,353.0
Ok,856.0
PM,1115850.0
Ol,4.0
PN,240.0
PO,554388.0
PP,669.0
Q2,3420.0
PQ,2.0
PR,32690.0
PS,74127.0
Q4,4135.0
PT,173848.0
Os,339.0
Q6,3260.0
Ot,16.0
PU,181.0
PV,1006.0
PW,65.0
PX,3.0
PY,91.0
QA,35.0
QB,41.0
QC,6.0
Pb,1.0
QD,15481.0
Pc,4.0
Pd,19.0
Pe,52.0
QF,1.0
QH,131.0
Pg,47.0
Ph,1064.0
QI,4.0
Pk,21.0
Pl,343.0
QM,1.0
Pm,748.0
QN,17.0
Pn,10.0
R1,78.0
QP,3.0
R2,22.0
Pp,11.0
QQ,3.0
QR,166.0
QS,1889.0
Pr,182.0
R4,60.0
QT,5180.0
Ps,156.0
R5,2.0
QU,1.0
QW,50.0
Px,12.0
Py,13.0
Pz,6.0
RA,81603.0
RB,19.0
RC,52.0
Qb,50.0
RD,266.0
RE,665.0
RF,1949.0
RG,28.0
RH,1012.0
RI,953.0
Qh,60.0
Qi,2.0
RL,420.0
RM,290.0
RN,28152.0
RO,264.0
Qn,2.0
S0,1.0
S1,21561.0
RP,4973.0
S2,18635.0
RQ,15.0
Qp,2.0
RR,184111.0
S3,5452.0
S4,5270.0
RS,89.0
Qr,1.0
Qs,239.0
RT,9334.0
S5,19.0
RU,254.0
Qt,92.0
RV,74301.0
Qu,1.0
RW,993.0
RX,3807.0
Qw,7.0
RY,38.0
SA,969.0
Ra,623.0
SB,8876.0
SC,33974.0
SD,180.0
Rc,18.0
SE,135.0
Rd,213.0
SF,74.0
SG,1123.0
SH,118.0
SI,3808.0
Rh,158.0
SJ,134.0
Ri,34.0
SK,9.0
SL,6157.0
SM,1310.0
Rl,31.0
Rm,146.0
SN,105.0
Rn,327.0
SO,246.0
T0,19.0
SP,5807.0
T1,12284.0
Ro,22.0
SQ,42775.0
T2,14621.0
SR,104386.0
T3,2544.0
Rq,1.0
SS,9173.0
T4,5159.0
Rr,726.0
ST,79997.0
T5,1537.0
Rs,4.0
Rt,7970.0
T6,1984.0
T7,1684.0
SV,296.0
T8,2066.0
SW,14505.0
Rv,61.0
T9,1870.0
SX,290.0
Rw,2.0
Rx,4569.0
SZ,495.0
Ry,1.0
TA,437.0
TB,5799.0
TC,880.0
Sb,41.0
Sc,313.0
TD,1326.0
TE,1287.0
Sd,31.0
TF,46453.0
Se,99.0
TG,933.0
TH,828.0
TI,126.0
Sh,59.0
TJ,24.0
TK,26.0
TL,422.0
TM,3505.0
Sl,326.0
Sm,1264.0
TN,86.0
Sn,5.0
TP,3537.0
Sp,2840.0
TR,37509.0
Sq,241.0
TS,3661.0
Sr,681.0
TT,76.0
Ss,62.0
St,3879.0
TU,16.0
TV,7590.0
TW,874.0
TX,1598.0
Sw,141.0
Sx,3124.0
Sz,1023.0
UA,19883.0
Ta,8.0
UC,1893.0
Tb,159.0
Tc,989.0
UD,1232.0
UE,12134.0
Td,31.0
UF,32676.0
Te,17.0
UG,17.0
Tf,780.0
Tg,21.0
Th,244.0
UI,6.0
UK,153.0
UL,212.0
Tk,43.0
UM,5.0
Tl,11.0
Tm,4614.0
UN,32.0
UO,17725.0
Tn,526.0
V1,4174.0
V2,4710.0
Tp,33.0
UQ,43.0
V3,2744.0
US,31964.0
Tr,542.0
Ts,251.0
UT,10.0
V6,2806.0
Tt,2.0
UV,456.0
Tu,9.0
Tv,668.0
UW,2.0
Tw,59.0
Tx,6559.0
VA,1339.0
VB,46.0
VC,789.0
VD,394.0
Uc,3.0
VE,197.0
Ud,4.0
VF,3733.0
VG,93.0
Uf,2.0
VH,30.0
VI,1986.0
VK,338.0
VL,3009.0
VM,87.0
Ul,1.0
VN,9.0
Un,9.0
VP,5816.0
VQ,963.0
VR,375.0
VS,20439.0
VT,18189.0
Ut,5.0
VU,1.0
VV,10.0
VW,53.0
Ux,7.0
VZ,15.0
WA,228.0
WB,260.0
Va,3.0
WC,341.0
WD,873.0
Vc,5.0
WE,703.0
Vd,61.0
WF,539.0
Ve,499.0
WG,23.0
Vf,4.0
WH,2.0
WI,19.0
WK,30.0
Vl,10.0
WN,50.0
WO,20.0
X0,1.0
WP,7.0
Vp,56.0
X2,5245.0
X3,3032.0
WR,12.0
Vq,6.0
WS,704.0
X4,491.0
Vr,1.0
WT,502.0
Vs,518.0
Vt,87813.0
WV,6.0
X8,19.0
WW,1.0
Vx,3.0
WY,1.0
XA,6.0
Wb,2.0
Wc,4.0
Wh,47.0
Wi,1.0
XL,8409.0
Wk,10.0
XM,3.0
XO,1.0
Wo,12.0
XP,2.0
Wp,62.0
XR,2731.0
Wr,31.0
XS,235.0
XT,320.0
Wt,3318.0
XX,318.0
Xa,117.0
YE,1.0
Xe,1.0
Xl,203.0
YM,2.0
YO,2698.0
YP,1.0
Xr,11.0
Xs,14.0
Xt,10.0
ZC,1.0
ZD,2.0
ZE,19.0
Yo,117.0
ZR,1.0
Zd,53.0
Zn,36.0
Cigs,2.0
Ciff,2.0
b/,23.0
b0,5.0
b1,10.0
b6,32.0
aa,187.0
ac,1550.0
ae,113.0
af,726.0
ag,653.0
ai,38.0
ak,30.0
c0,1.0
c1,114.0
ao,488.0
ap,449.0
c2,287.0
aq,5.0
c3,92.0
c4,83.0
ar,227.0
c5,199.0
c6,303.0
c7,183.0
au,3.0
av,1001.0
aw,21.0
ay,88.0
ba,37.0
bb,517.0
bc,1314.0
bd,41.0
be,739846.0
bf,64.0
bg,160.0
bi,11.0
bk,27.0
bl,1651.0
bm,2223.0
d/,196.0
d0,3.0
bn,3.0
d1,178.0
bo,56.0
bp,16766.0
d2,59.0
d3,67.0
br,1176.0
d4,36.0
bs,6711.0
d5,642.0
bt,158.0
bu,170.0
d7,42.0
bw,15.0
d9,6.0
bx,6116.0
bz,9.0
ca,12510.0
cb,154.0
cc,55200.0
cd,458.0
ce,95.0
cg,23.0
ch,302.0
ci,462.0
ck,1156.0
cl,1069.0
cm,180937.0
cn,240.0
co,1091.0
cp,1975.0
cr,4411.0
cs,271.0
ct,15356.0
cu,30.0
cv,350.0
cw,44.0
cx,57307.0
cy,7.0
cz,4.0
da,36.0
db,94.0
dc,13027.0
dd,17.0
df,24.0
dg,28.0
di,145.0
dj,4.0
dk,436.0
dl,246.0
dm,562.0
f/,43.0
dn,86.0
f1,1.0
dp,1066.0
f2,1.0
f3,7.0
dq,2.0
dr,3127.0
ds,299.0
f5,2.0
dt,141.0
f6,12.0
dw,25.0
f9,2.0
dx,10892.0
dy,37.0
dz,3322.0
ea,79.0
eb,76.0
Cine,33.0
ec,32.0
ee,16.0
ef,1577.0
eg,268.0
ei,11.0
ej,40.0
g/,2.0
eo,44.0
ep,190.0
g2,2.0
eq,23.0
g3,2.0
er,490.0
es,216.0
eu,44.0
ev,204.0
ew,1084.0
ez,215.0
fa,103.0
fb,128.0
fc,44.0
fd,19.0
ff,17.0
fg,3.0
fh,42.0
fi,147.0
fk,1.0
fl,187.0
h/,27.0
fm,607.0
fn,34.0
fo,1248.0
h1,16.0
h2,434.0
fp,11.0
fq,5.0
fr,398.0
fs,654.0
h5,13.0
ft,1485.0
fu,559.0
h7,1.0
fw,1.0
fx,36728.0
ga,124.0
gb,223.0
gd,993.0
ge,82.0
gf,63.0
gg,86.0
gi,1962.0
gj,58.0
gl,66.0
gm,12193.0
gn,11.0
gp,6.0
gr,1620.0
gs,83.0
gt,156.0
gy,8.0
hb,68.0
hc,40.0
hd,1952.0
hf,112.0
hg,420.0
hh,5.0
hk,50.0
hl,23.0
hm,12.0
j/,2.0
hn,20.0
hp,4.0
hr,48476.0
hs,2413.0
ht,117.0
hw,10.0
hx,59954.0
hy,45.0
hz,35.0
Circ,143.0
ia,76.0
ib,17.0
ic,98.0
ig,8.0
ih,54.0
ij,1043.0
il,16.0
Cipo,5.0
k2,9.0
ip,121.0
k3,80.0
ir,465.0
k4,28.0
k5,3.0
iu,27.0
iw,1.0
jh,4.0
l0,1.0
l1,18.0
jp,1190.0
l2,18.0
l3,29.0
l4,108.0
jr,658.0
l5,18.0
jt,82.0
l6,2.0
ka,3.0
kc,7.0
kd,4.0
ke,5.0
kg,156490.0
kl,5.0
m/,4.0
km,1.0
m1,5.0
m2,38577.0
kt,1.0
kv,1.0
lb,1585.0
ld,46.0
le,820.0
lf,72.0
lg,4532.0
lh,2.0
li,138.0
lk,1.0
ll,305.0
lm,37.0
n/,54.0
ln,10.0
n1,6.0
lp,118.0
lr,469.0
ls,486.0
lt,3541.0
lv,357.0
ly,94.0
mb,213.0
mc,40.0
md,2531.0
mf,39.0
mg,785069.0
mh,31.0
mj,5.0
ml,20232.0
mm,87084.0
mn,1513.0
mo,1621.0
mp,27.0
mq,20.0
mr,364.0
ms,2664.0
mt,70.0
mv,404.0
mx,102.0
na,1965.0
nb,5.0
nc,6767.0
nd,1492.0
nf,4.0
ng,1409.0
nh,31.0
ni,20.0
nl,18510.0
nm,5.0
p/,180.0
nn,3.0
p1,8.0
np,1363.0
p2,34.0
p3,4.0
nr,104.0
ns,3547.0
p5,11.0
nt,747.0
p6,37.0
p7,4.0
nv,15.0
nw,16.0
ny,19.0
oa,68.0
ob,277.0
oc,16.0
od,375.0
oe,22.0
og,576.0
oi,1.0
oj,24.0
ok,6928.0
ol,34.0
q/,7.0
oo,5.0
q2,3342.0
q4,5398.0
os,460.0
ot,1143.0
q6,5883.0
ou,263.0
ov,66.0
Ciwa,502.0
pb,9.0
pc,343.0
pd,154.0
pe,1445.0
pf,185.0
pg,326.0
ph,1541.0
pj,1.0
pk,603.0
pl,1200.0
pm,24684.0
r/,121.0
pn,120.0
pp,1018.0
pr,1487.0
r4,2.0
ps,2266.0
pt,516019.0
pu,51.0
pv,10.0
pw,77.0
px,61.0
py,153.0
qa,4.0
qb,1.0
qc,6.0
qd,19817.0
qe,1.0
qh,83.0
s/,2617.0
qm,6.0
s0,1.0
s1,1576.0
s2,1415.0
qp,1.0
s3,49.0
s4,50.0
qs,592.0
s5,2.0
qt,179.0
qu,14.0
qw,10.0
ra,1190.0
rb,7.0
rc,57.0
rd,234.0
rf,74.0
rg,4.0
rh,19.0
ri,64.0
rl,63.0
rm,618.0
t/,4.0
rn,1339.0
t0,107.0
ro,1059.0
t1,81.0
rp,119.0
t2,66.0
t3,82.0
rr,4528.0
t4,225.0
rs,36.0
t5,24.0
rt,11565.0
t6,28.0
t7,12.0
ru,32.0
rv,217.0
t8,10.0
t9,8.0
rw,8.0
rx,4129.0
ry,13.0
sb,354.0
sc,8664.0
sd,22.0
se,314.0
sf,6.0
sg,47.0
sh,114.0
sk,7.0
sl,2872.0
sm,7541.0
sn,6.0
sp,3920.0
sq,3400.0
sr,1758.0
ss,2733.0
st,1999.0
sv,15.0
sw,806.0
sx,8745.0
sz,5605.0
ta,38.0
tb,171.0
tc,119.0
td,52.0
te,120.0
tf,1336.0
tg,6.0
th,1587.0
tk,10.0
tl,18.0
tm,153.0
tn,21.0
v1,57.0
v2,73.0
tp,439.0
v3,34.0
tr,782.0
ts,107.0
v6,42.0
tt,16.0
tu,60.0
tv,1523.0
tw,30.0
tx,24996.0
ua,429.0
ub,2.0
uc,8.0
ue,372.0
uf,30.0
ug,43.0
ul,9.0
w/,251059.0
um,2.0
uo,2276.0
ut,73.0
uv,30.0
va,76.0
vb,6.0
vc,30.0
vd,72.0
ve,335.0
vf,85.0
vg,6.0
vl,72.0
x/,38.0
vm,19.0
x0,72.0
x2,34698.0
vp,228.0
x3,27376.0
x4,5975.0
vr,9.0
vs,89981.0
vt,563.0
vu,10.0
x8,219.0
vv,72.0
vw,241.0
vx,21.0
vz,4.0
wa,302.0
wb,20.0
wc,16.0
wd,166.0
wf,87.0
wg,1.0
wh,50.0
DLCL,1.0
wi,247.0
wk,2796.0
DLCO,508.0
wl,5.0
y/,11.0
wn,5.0
wo,196.0
wp,2.0
wr,4.0
ws,363.0
wt,4115.0
wv,1.0
ww,1.0
xa,6.0
DLBC,11.0
xd,3.0
xe,2.0
xk,1.0
xl,576.0
xm,2.0
xo,3.0
xr,177.0
xs,20.0
xt,9.0
xx,60.0
yd,4.0
yo,102192.0
yp,5.0
ys,12.0
DLCo,3.0
zt,14.0
psaos,4.0
CkMB,3.0
DLco,2.0
DME/,1.0
Cked,2.0
DMIN,4.0
Ckit,2.0
DMPK,2.0
DMSO,3.0
DMT1,1.0
DMSA,7.0
OSHED,1.0
DNI/,9.0
Clin,6.0
DMt1,1.0
DOES,200.0
DOE/,6.0
DOOR,16.0
DOPA,28.0
DOPa,1.0
DOSS,22.0
DOXY,1.0
DPAT,1.0
DPOA,1.0
DPPs,1.0
DOpa,1.0
ID/Ortho,4.0
CpAP,1.0
Coag,1845.0
ehile,1.0
CpDR,1.0
Comm,212.0
Como,1.0
Comp,22.0
Comt,9.0
Conc,20.0
Cond,9.0
Conj,16.0
Cont,127638.0
Copd,22.0
Cotn,38.0
DRAG,2.0
DRCA,5.0
Cpap,1143.0
DI/DI,2.0
ehich,2.0
DRSG,124.0
DRUJ,12.0
CrCL,5.0
CrCl,233.0
DSGs,19.0
DTAP,36.0
Crae,1.0
sats/ABG,25.0
Cret,3.0
DTIC,16.0
Crit,1354.0
DShe,1.0
DTPA,224.0
DTRs,803.0
OT/PT,178.0
DTRS,14.0
Cryo,472.0
DTaP,56.0
Csec,1.0
DULC,1.0
HYLAR,4.0
EGD/push,6.0
Ctab,10.0
SENSORY/,6.0
DVTs,2210.0
DVTS,52.0
DWIs,8.0
TEMPS,13.0
DVts,1.0
hypoPTH,2.0
Vanc/cef,2.0
DXZ1,1.0
DYSP,2.0
Year/Age,1.0
TYLENO,1.0
HPylori,33.0
STATIN,8.0
KCALs,1.0
psurg,21.0
W/AND,3.0
EACs,8.0
EACH,1911.0
TEVAR,66.0
Alk/Phos,3.0
EAST,5744.0
EARS,9.0
W/BAL,2.0
EBM/,1.0
W/C/R,2.0
EBNA,138.0
EBSL,4.0
EBRT,16.0
EBV/,3.0
EBUS,144.0
ECAs,3.0
ECHP,1.0
ECGs,1325.0
ECGS,7.0
Daiy,3.0
ECOG,31.0
ECMO,529.0
ECRP,45.0
Davp,2.0
EDED,1.0
EDLV,22.0
EDMA,5.0
Dbil,4.0
EDRD,5.0
EDTA,22.0
EDVI,1.0
EDVS,27.0
EEG/,13.0
Dced,43.0
EEGs,239.0
DIAGS,1.0
EENT,7.0
EF50,28.0
IVbolus,6.0
EFOF,2.0
Debe,4.0
EGDS,1.0
EGD/,42.0
mcg/kg/hr,377.0
EGFR,100.0
Decr,113.0
EGDs,176.0
Deit,1.0
EGMs,3.0
Tues/Wed,6.0
EFof,17.0
Derm,1149.0
Dexa,17.0
lcear,5.0
BAL/wash,1.0
EHEC,4.0
ETOHism,61.0
EHLs,4.0
CTAngio,15.0
W/HTN,1.0
W/KUB,75.0
DiAG,1.0
Dhas,1.0
ID/WOUND,1.0
gs/cx,7.0
STBALE,1.0
KCL/L,5.0
Diag,279.0
EKG/,9.0
Didn,82.0
Dics,1.0
Diff,5317.0
EKGs,4183.0
EKGS,30.0
Tues/Sat,3.0
ON/12HRS,1.0
Disp,3476.0
Dist,30.0
ELAP,1.0
ELEV,158.0
o2sats,103.0
ELSE,19.0
EMBO,1182.0
DlCo,2.0
DlCO,3.0
EMG/,3.0
EMED,1.0
EMGs,13.0
EMLA,12.0
EMOI,39.0
EMS/,1.0
EMTS,16.0
EMTs,360.0
LH/dizzy,19.0
ptent,1.0
ENDO,240.0
ENOG,2.0
#IV,1.0
ENT/,2.0
F/Up,2.0
ENTs,5.0
HA/Sinus,1.0
OTIAL,3.0
EtOH/Tob,2.0
Dmin,9.0
EOMi,49.0
EOMs,1218.0
EOMI,16690.0
EOMS,72.0
EOTH,43.0
W/R/C,219.0
W/R/R,791.0
EPAP,69.0
EPEP,1.0
EPI/,1.0
EPIs,2.0
EPIC,11.0
%EF,1.0
EPOC,11.0
%FM,4.0
EOmi,1.0
EPS/,5.0
eigth,10.0
DIMIN,4.0
Prox/mid,1.0
%RA,29.0
&HS,6.0
Dopa,1669.0
Dors,1.0
&PM,3.0
Doxy,110.0
ERCp,141.0
ERDS,16.0
ERCP,31236.0
Nt/Nd,2.0
Nt/ND,12.0
ERRL,50.0
ERSD,113.0
ERSP,7.0
ESBL,3922.0
ESDR,12.0
ESBl,6.0
ERcp,4.0
W/spacer,1.0
ESLD,4439.0
ESKD,33.0
ESRD,27826.0
ESRF,35.0
ESRS,1.0
ESRd,7.0
ESRs,5.0
ESWL,34.0
Drez,4.0
ETHO,10.0
W/W/R,3.0
ETIH,3.0
ESlD,2.0
ETOh,91.0
ETOH,26258.0
Vanc/Amp,14.0
STAIN/CX,1.0
ETT/,49.0
BACK/,4.0
Afebrile/,10.0
DtAP,1.0
Vanc/Cef,5.0
FLAIRS,2.0
*DM,2.0
*DO,4.0
EToH,92.0
*HR,64.0
*IF,1.0
*IT,1.0
*IV,277.0
EToh,18.0
*MS,13.0
*NO,8.0
*PT,55.0
EVAR,533.0
DtaP,15.0
EVAL,5095.0
EVDs,120.0
EVDS,1.0
+BL,6.0
+BS,9639.0
+CK,5.0
+CX,2.0
+DP,163.0
EVRY,1.0
+LE,40.0
BAERs,5.0
+MR,9.0
BAERS,10.0
+PP,435.0
+PT,46.0
+RP,2.0
+RV,16.0
+VE,3.0
DISTR,1.0
EVal,32.0
DISPO,107.0
W/WBC,2.0
Dulc,9.0
cabge,1.0
cabg/,10.0
Tues/Fri,2.0
EXIT,7.0
EXTR,178.0
EXTs,38.0
Ca++/Vit,2.0
EYOH,2.0
Dxed,8.0
/AF,1.0
/AS,6.0
/BP,21.0
/BS,2.0
/CI,14.0
/CL,1.0
/CR,8.0
/CT,13.0
/CV,1.0
/DR,6.0
/ED,1.0
/EF,3.0
/ER,1.0
/GI,1.0
/HD,10.0
/HR,43.0
/ID,7.0
/IV,22.0
/LE,3.0
/LP,2.0
gradt,2.0
/MD,4.0
/MS,14.0
/MV,5.0
/NC,2.0
/NS,15.0
/OM,7.0
/OT,8.0
/PM,4.0
/PO,29.0
/PR,1.0
/PS,40.0
/PT,3.0
/RA,3.0
/RR,31.0
/TR,4.0
/TV,22.0
/UA,4.0
/US,3.0
/as,2.0
/bp,5.0
/bs,5.0
/cl,1.0
/cr,4.0
/dl,2.0
/dp,1.0
